# Base Types: Conqueror Idol
# Total modifiers on each item: 0|1|2|3|4
# Can have duplicate modifiers: False|False
# Modifier distrubution: 22:0|1|2,"rest":0|1|2
# Source: https://poedb.tw/us/Conqueror_Idol#ModifiersCalc
minRoll,maxRoll,textRolls,position,effect,static,idol
0.03,0.05,,0,"Abyssal Troves and Stygian Spires in your Maps have #% chance to drop an Abyss Scarab",,True
,,,0,"Abysses in your Maps that do not lead to an Abyssal Depths lead to 4 Pits if able",True,True
,,,0,"Abysses in your Maps that do not lead to an Abyssal Depths lead to at least 3 Pits if able",True,True
8,12,,0,"Abysses in your Maps spawn #% increased Monsters for each prior Pit in that Abyss",,True
,,,0,"Killing resident Architects in your Maps adds their Upgrade Tier to the surviving Architect's Room",True,True
,,,0,"Incursions in your Maps contain a Vaal Flesh Merchant",True,True
,,,0,"Your Maps with Incursions always have four Incursions",True,True
,,,0,"Time gained from Kills is Doubled for Incursions in your Maps",True,True
,,,0,"Incursions in your Maps contain Cursed Treasures",True,True
40,60,,0,"Wild Rogue Exiles in your Maps have #% chance to have additional Rewards",,True
,,,0,"Beasts in your Maps are more likely to be less common varieties",True,True
,,,0,"Einhar remains in your Maps after his Mission is Complete",True,True
12,18,,0,"Yellow Beasts in your Maps have #% chance to be replaced with Red Beasts",,True
15,20,,0,"Beasts in your Maps have a #% chance to break free",,True
,,,0,"Beasts which break free in your Maps gain Bestial Rage",True,True
,,,0,"Defeating Beasts grants Hunters' Cunning per Bestial Rage on the defeated Beast",True,True
12,18,,0,"Slaying Enemies in your Maps has a #% increased chance to spawn a Beyond Portal",,True
,,,0,"Gain Demonic Power on defeating a Beyond Boss in your Maps",True,True
3,5,,0,"Varieties of Items contained in # Blight Chests in your Maps are Lucky",,True
5,10,,0,"Blight chests in your Maps have a #% chance to be openable again",,True
,,,0,"Completing a Blight Encounter in your Maps grants all Players Blightreach",True,True
,,,0,"Blight Towers in your Maps can be Salvaged after the Blight Encounter",True,True
,,,0,"Higher Tier Towers grant better Salvaged Rewards",True,True
,,,0,"Salvaged Rewards are improved for each different Tower Type built during Encounter",True,True
3,5,,0,"Breach Bosses Defeated in your Maps have #% chance to drop a Breachstone",,True
2,3,,0,"Breaches in your Maps contain # additional Clasped Hands",,True
2,3,,0,"Breaches in your Maps have #% chance to contain Xesht-Ula, the Open Hand",,True
3,5,,0,"Breach Boss' Clasped Hands in your Maps have #% chance to spawn a Breach Boss when opened",,True
10,15,,0,"Your Maps have #% chance to award double progress towards encountering The Searing Exarch",,True
10,15,,0,"Eldritch Embers found in your Maps influenced by The Searing Exarch have #% chance to be Duplicated",,True
8,12,,0,"Delirium Encounters in your Maps have #% chance to generate three additional Reward types",,True
20,30,,0,"#% increased Stack size of Simulacrum Splinters found in your Maps",,True
1,2,,0,"Delirious Unique Monsters in your Maps have a #% chance to drop an additional Delirium Orb",,True
2,3,,0,"Delirious Unique Monsters in your Maps have a #% chance to drop an additional Cluster Jewel",,True
,,,0,"Voltaxic Sulphite Veins and Chests in your Maps are guarded by Sulphite-hoarding Monsters",True,True
2,3,,0,"You Gain +#% to all maximum Elemental Resistances per stack of Sulphite Intoxication.",,True
,,,0,"Voltaxic Sulphite Veins and Chests found in your Maps contains Doomed Spirits",True,True
,,,0,"Shrines in your Maps are guarded by at least one Magic Pack",True,True
,,,0,"Shrines in your Maps grant a random additional Shrine Effect",True,True
8,12,,0,"Shrines in your Maps have #% chance to be a Covetous Shrine",,True
,,,0,"Imprisoned Monsters in your Maps have at least 1 Essence at the highest possible tier",True,True
25,35,,0,"Essences found in your Maps have #% chance to be a tier higher",,True
,,,0,"Using Remnants of Corruption on Imprisoned Monsters in your Maps replaces all Essences with one of the Essences on the Imprisoned Monster",True,True
80,120,,0,"#% increased Explosive Placement Range in your Maps",,True
1,2,,0,"Expeditions in your Maps have +# Remnants",,True
20,25,,0,"Your Maps contain #% increased number of Runic Monster Markers",,True
,,,0,"Currency Shards dropped by Harbingers in your Maps can drop as Currency Items instead",True,True
4,8,,0,"Plants Harvested in your Maps have #% chance to spawn duplicated Monsters",,True
10,15,,0,"Harvested Plants in your Maps have #% chance to spawn an additional Monster",,True
10,15,,0,"Lifeforce dropped by Harvest Monsters in your Maps has #% chance to be Duplicated",,True
10,15,,0,"Blueprints that drop in your Maps have #% chance to be fully Revealed",,True
4,6,,0,"Your Maps that contain Smuggler's Caches have a #% chance to contain 6 additional Smuggler's Caches",,True
10,15,,0,"Smuggler's Caches in your Maps have #% increased chance to contain Blueprints for each Smuggler's Cache opened in the Map",,True
,,,0,"Huck accompanies you on opening the first Smuggler's Cache in each of your Maps",True,True
100,200,,0,"Immortal Syndicate Members in your Maps drop #% more",,True
,,,0,"Items when Bargained with for Items",True,True
10,15,,0,"Completing your Maps grants # Intelligence for a random Immortal Syndicate Safehouse",,True
20,25,,0,"Labyrinth Trials in your Maps have #% chance to award an Improved Offering to the Goddess",,True
,,,0,"Legion Encounters in your Maps contain 2 additional Sergeants",True,True
,,,0,"Legion Encounters with a General in your Maps have both Generals",True,True
0.5,0.75,,0,"#% chance for Timeless Splinters to drop as Timeless Emblems instead in your Maps",,True
,,,0,"Ultimatum Encounters in your Maps grant rewards as though you completed an additional Round",True,True
,,,0,"Ultimatum Boss drops a full stack of a random Catalyst",True,True
20,25,,0,"Ultimatum Rewards in your Maps have #% chance to be duplicated",,True
,,,0,"Your Maps with Ritual Altars always have four Ritual Altars",True,True
,,,0,"Ritual Altars in your Maps allow rerolling Favours an additional time",True,True
15,20,,0,"Completing the final Ritual Altar in your Maps has #% chance to drop a Blood-filled Vessel",,True
3,5,,0,"Map Device has #% chance not to consume Scarabs",,True
,,,0,"Scarabs found in your Maps are more likely to be less common varieties",True,True
,,,0,"Strongboxes in your Maps are at least Rare",True,True
,,,0,"Strongboxes in your Maps are Corrupted",True,True
5,9,,0,"Strongboxes opened in your Maps have #% chance to be openable again",,True
20,30,,0,"Synthesised Monsters in Synthesis Maps have #% increased Pack Size",,True
25,35,,0,"Monster Packs Influenced by The Eater of Worlds in your Maps have #% increased Pack Size",,True
,,,0,"Tormented Spirits in your Maps are more likely to be less common varieties",True,True
10,15,,0,"Defeating a Map Boss while Witnessed by The Maven has #% chance to count as also Witnessing an additional random Map Boss",,True
