minRoll,maxRoll,textRolls,position,effect,static,regex,modifierId
4,5,,0,Warcries grant # Rage per 5 Power if you have less than 25 Rage,,Warcries grant ([+-]?([0-9]*[.])?[0-9]+) Rage per 5 Power if you have less than 25 Rage,107
3,5,,0,#% of Leech is Instant,,([+-]?([0-9]*[.])?[0-9]+)% of Leech is Instant,108
6,8,,0,#% of Leech is Instant,,([+-]?([0-9]*[.])?[0-9]+)% of Leech is Instant,109
3,4,,0,"Nearby corpses Explode when you Warcry, dealing #% of their Life as Physical Damage",,"Nearby corpses Explode when you Warcry, dealing ([+-]?([0-9]*[.])?[0-9]+)% of their Life as Physical Damage",110
5,6,,0,"Nearby corpses Explode when you Warcry, dealing #% of their Life as Physical Damage",,"Nearby corpses Explode when you Warcry, dealing ([+-]?([0-9]*[.])?[0-9]+)% of their Life as Physical Damage",111
10,19,,0,#% chance to Taunt on Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to Taunt on Hit,112
20,30,,0,#% chance to Taunt on Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to Taunt on Hit,113
10,15,,0,"When you create a Banner, it gains #% of the Stages of your placed Banner",,"When you create a Banner, it gains ([+-]?([0-9]*[.])?[0-9]+)% of the Stages of your placed Banner",114
16,25,,0,"When you create a Banner, it gains #% of the Stages of your placed Banner",,"When you create a Banner, it gains ([+-]?([0-9]*[.])?[0-9]+)% of the Stages of your placed Banner",115
5,10,,0,Melee Hits have #% chance to Fortify,,Melee Hits have ([+-]?([0-9]*[.])?[0-9]+)% chance to Fortify,116
11,20,,0,Melee Hits have #% chance to Fortify,,Melee Hits have ([+-]?([0-9]*[.])?[0-9]+)% chance to Fortify,117
2,3,,0,"Bleeding Enemies you Kill Explode, dealing #% of their Maximum Life as Physical Damage",,"Bleeding Enemies you Kill Explode, dealing ([+-]?([0-9]*[.])?[0-9]+)% of their Maximum Life as Physical Damage",118
4,5,,0,"Bleeding Enemies you Kill Explode, dealing #% of their Maximum Life as Physical Damage",,"Bleeding Enemies you Kill Explode, dealing ([+-]?([0-9]*[.])?[0-9]+)% of their Maximum Life as Physical Damage",119
10,19,,0,Attack Hits against Bleeding Enemies have #% chance to Blind,,Attack Hits against Bleeding Enemies have ([+-]?([0-9]*[.])?[0-9]+)% chance to Blind,120
20,30,,0,Attack Hits against Bleeding Enemies have #% chance to Blind,,Attack Hits against Bleeding Enemies have ([+-]?([0-9]*[.])?[0-9]+)% chance to Blind,121
10,19,,0,Attack Hits against Blinded Enemies have #% chance to Maim,,Attack Hits against Blinded Enemies have ([+-]?([0-9]*[.])?[0-9]+)% chance to Maim,122
20,30,,0,Attack Hits against Blinded Enemies have #% chance to Maim,,Attack Hits against Blinded Enemies have ([+-]?([0-9]*[.])?[0-9]+)% chance to Maim,123
1,2,,0,+#% to maximum Chance to Block Attack Damage,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to maximum Chance to Block Attack Damage,124
3,4,,0,+# to Armour and Evasion Rating per 1% Chance to Block Attack Damage,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Armour and Evasion Rating per 1% Chance to Block Attack Damage,125
5,6,,0,+# to Armour and Evasion Rating per 1% Chance to Block Attack Damage,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Armour and Evasion Rating per 1% Chance to Block Attack Damage,126
3,4,,0,+#% Chance to Block Attack Damage,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Attack Damage,127
5,6,,0,+#% Chance to Block Attack Damage,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Attack Damage,128
4,7,,0,Gain #% increased Attack Speed for 20 seconds when you Kill a Rare or Unique Enemy,,Gain ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Attack Speed for 20 seconds when you Kill a Rare or Unique Enemy,129
8,12,,0,Gain #% increased Attack Speed for 20 seconds when you Kill a Rare or Unique Enemy,,Gain ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Attack Speed for 20 seconds when you Kill a Rare or Unique Enemy,130
4,7,,0,#% of Overkill Damage is Leeched as Life,,([+-]?([0-9]*[.])?[0-9]+)% of Overkill Damage is Leeched as Life,131
8,12,,0,#% of Overkill Damage is Leeched as Life,,([+-]?([0-9]*[.])?[0-9]+)% of Overkill Damage is Leeched as Life,132
10,20,,0,#% increased Maximum Recovery per Life Leech,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Maximum Recovery per Life Leech,133
21,30,,0,#% increased Maximum Recovery per Life Leech,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Maximum Recovery per Life Leech,134
4,7,,0,#% increased Area of Effect if you've Killed Recently,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Area of Effect if you've Killed Recently,135
8,12,,0,#% increased Area of Effect if you've Killed Recently,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Area of Effect if you've Killed Recently,136
20,30,,0,+# to Strength and Intelligence,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Strength and Intelligence,137
31,40,,0,+# to Strength and Intelligence,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Strength and Intelligence,138
20,30,,0,#% increased Effect of non-Damaging Ailments you inflict with Critical Strikes,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of non-Damaging Ailments you inflict with Critical Strikes,139
31,40,,0,#% increased Effect of non-Damaging Ailments you inflict with Critical Strikes,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of non-Damaging Ailments you inflict with Critical Strikes,140
5,6,,0,Consecrated Ground you create applies #% increased Damage taken to Enemies,,Consecrated Ground you create applies ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Damage taken to Enemies,141
7,10,,0,Consecrated Ground you create applies #% increased Damage taken to Enemies,,Consecrated Ground you create applies ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Damage taken to Enemies,142
3,4,,0,Damage Penetrates #% of Enemy Elemental Resistances,,Damage Penetrates ([+-]?([0-9]*[.])?[0-9]+)% of Enemy Elemental Resistances,143
5,6,,0,Damage Penetrates #% of Enemy Elemental Resistances,,Damage Penetrates ([+-]?([0-9]*[.])?[0-9]+)% of Enemy Elemental Resistances,144
10,19,,0,"#% chance to create Consecrated Ground when you Hit a Rare or Unique Enemy, lasting 8 seconds",,"([+-]?([0-9]*[.])?[0-9]+)% chance to create Consecrated Ground when you Hit a Rare or Unique Enemy, lasting 8 seconds",145
20,30,,0,"#% chance to create Consecrated Ground when you Hit a Rare or Unique Enemy, lasting 8 seconds",,"([+-]?([0-9]*[.])?[0-9]+)% chance to create Consecrated Ground when you Hit a Rare or Unique Enemy, lasting 8 seconds",146
,70,,0,#% increased Critical Strike Chance if you haven't dealt a Critical Strike Recently,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance if you haven't dealt a Critical Strike Recently,147
71,100,,0,#% increased Critical Strike Chance if you haven't dealt a Critical Strike Recently,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance if you haven't dealt a Critical Strike Recently,148
1,2,,0,#% of Damage is taken from Mana before Life,,([+-]?([0-9]*[.])?[0-9]+)% of Damage is taken from Mana before Life,149
4,7,,0,#% increased Mana Reservation Efficiency of Skills,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Mana Reservation Efficiency of Skills,150
8,12,,0,#% increased Mana Reservation Efficiency of Skills,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Mana Reservation Efficiency of Skills,151
2,3,,0,Gain #% of Maximum Mana as Extra Maximum Energy Shield,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Maximum Mana as Extra Maximum Energy Shield,152
4,5,,0,Gain #% of Maximum Mana as Extra Maximum Energy Shield,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Maximum Mana as Extra Maximum Energy Shield,153
20,30,,0,Non-Damaging Ailments have #% reduced Effect on you while you have Arcane Surge,,Non-Damaging Ailments have ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect on you while you have Arcane Surge,154
31,40,,0,Non-Damaging Ailments have #% reduced Effect on you while you have Arcane Surge,,Non-Damaging Ailments have ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect on you while you have Arcane Surge,155
1,2,,0,#% of Damage from Hits is taken from your nearest Totem's Life before you,,([+-]?([0-9]*[.])?[0-9]+)% of Damage from Hits is taken from your nearest Totem's Life before you,156
20,30,,0,Skills that would Summon a Totem have #% chance to Summon two Totems instead,,Skills that would Summon a Totem have ([+-]?([0-9]*[.])?[0-9]+)% chance to Summon two Totems instead,157
31,50,,0,Skills that would Summon a Totem have #% chance to Summon two Totems instead,,Skills that would Summon a Totem have ([+-]?([0-9]*[.])?[0-9]+)% chance to Summon two Totems instead,158
4,5,,0,"If you've Attacked Recently, you and nearby Allies have +#% Chance to Block Attack Damage",,"If you've Attacked Recently, you and nearby Allies have (\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Attack Damage",159
6,8,,0,"If you've Attacked Recently, you and nearby Allies have +#% Chance to Block Attack Damage",,"If you've Attacked Recently, you and nearby Allies have (\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Attack Damage",160
4,5,,0,"If you've Cast a Spell Recently, you and nearby Allies have +#% Chance to Block Spell Damage",,"If you've Cast a Spell Recently, you and nearby Allies have (\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Spell Damage",161
6,8,,0,"If you've Cast a Spell Recently, you and nearby Allies have +#% Chance to Block Spell Damage",,"If you've Cast a Spell Recently, you and nearby Allies have (\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Spell Damage",162
3,4,,0,Grants Armour equal to #% of your Reserved Mana to you and nearby Allies,,Grants Armour equal to ([+-]?([0-9]*[.])?[0-9]+)% of your Reserved Mana to you and nearby Allies,163
5,6,,0,Grants Armour equal to #% of your Reserved Mana to you and nearby Allies,,Grants Armour equal to ([+-]?([0-9]*[.])?[0-9]+)% of your Reserved Mana to you and nearby Allies,164
-5,-4,,0,Exposure you inflict applies an extra #% to the affected Resistance,,Exposure you inflict applies an extra ([+-]?([0-9]*[.])?[0-9]+)% to the affected Resistance,165
-7,-6,,0,Exposure you inflict applies an extra #% to the affected Resistance,,Exposure you inflict applies an extra ([+-]?([0-9]*[.])?[0-9]+)% to the affected Resistance,166
5,7,,0,Shocks from your Hits always increase Damage taken by at least #%,,Shocks from your Hits always increase Damage taken by at least ([+-]?([0-9]*[.])?[0-9]+)%,167
8,10,,0,Shocks from your Hits always increase Damage taken by at least #%,,Shocks from your Hits always increase Damage taken by at least ([+-]?([0-9]*[.])?[0-9]+)%,168
3,4,,0,Chills from your Hits always reduce Action Speed by at least #%,,Chills from your Hits always reduce Action Speed by at least ([+-]?([0-9]*[.])?[0-9]+)%,169
5,6,,0,Chills from your Hits always reduce Action Speed by at least #%,,Chills from your Hits always reduce Action Speed by at least ([+-]?([0-9]*[.])?[0-9]+)%,170
15,20,,0,#% increased Effect of Buffs granted by your Golems,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of Buffs granted by your Golems,171
21,35,,0,#% increased Effect of Buffs granted by your Golems,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of Buffs granted by your Golems,172
10,15,,0,"#% chance to Freeze, Shock and Ignite",,"([+-]?([0-9]*[.])?[0-9]+)% chance to Freeze, Shock and Ignite",173
16,25,,0,"#% chance to Freeze, Shock and Ignite",,"([+-]?([0-9]*[.])?[0-9]+)% chance to Freeze, Shock and Ignite",174
6,10,,0,"Cursed Enemies you or your Minions Kill have a #% chance to Explode, dealing a quarter of their maximum Life as Chaos Damage",,"Cursed Enemies you or your Minions Kill have a ([+-]?([0-9]*[.])?[0-9]+)% chance to Explode, dealing a quarter of their maximum Life as Chaos Damage",175
11,15,,0,"Cursed Enemies you or your Minions Kill have a #% chance to Explode, dealing a quarter of their maximum Life as Chaos Damage",,"Cursed Enemies you or your Minions Kill have a ([+-]?([0-9]*[.])?[0-9]+)% chance to Explode, dealing a quarter of their maximum Life as Chaos Damage",176
2,3,,0,#% increased Area of Effect per Power Charge,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Area of Effect per Power Charge,177
3,5,,0,#% increased Effect of your Curses,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of your Curses,178
6,8,,0,#% increased Effect of your Curses,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of your Curses,179
1,1.5,,0,Regenerate #% of Energy Shield per second,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Energy Shield per second,180
2,3,,0,Regenerate #% of Energy Shield per second,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Energy Shield per second,181
10,19,,0,#% chance to Hinder Enemies on Hit with Spells,,([+-]?([0-9]*[.])?[0-9]+)% chance to Hinder Enemies on Hit with Spells,182
20,30,,0,#% chance to Hinder Enemies on Hit with Spells,,([+-]?([0-9]*[.])?[0-9]+)% chance to Hinder Enemies on Hit with Spells,183
10,19,,0,Minions have #% chance to gain Unholy Might for 4 seconds on Kill,,Minions have ([+-]?([0-9]*[.])?[0-9]+)% chance to gain Unholy Might for 4 seconds on Kill,184
20,30,,0,Minions have #% chance to gain Unholy Might for 4 seconds on Kill,,Minions have ([+-]?([0-9]*[.])?[0-9]+)% chance to gain Unholy Might for 4 seconds on Kill,185
15,20,,0,Your Offerings have #% increased Effect on you,,Your Offerings have ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect on you,186
21,30,,0,Your Offerings have #% increased Effect on you,,Your Offerings have ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect on you,187
2,3,,0,Regenerate #% of Mana over 2 seconds when you Consume a corpse,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Mana over 2 seconds when you Consume a corpse,188
4,5,,0,Regenerate #% of Mana over 2 seconds when you Consume a corpse,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Mana over 2 seconds when you Consume a corpse,189
2,3,,0,Regenerate #% of Energy Shield over 2 seconds when you Consume a corpse,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Energy Shield over 2 seconds when you Consume a corpse,190
4,5,,0,Regenerate #% of Energy Shield over 2 seconds when you Consume a corpse,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Energy Shield over 2 seconds when you Consume a corpse,191
10,14,,0,You and nearby Allies have +#% to Elemental Resistances,,You and nearby Allies have (\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Elemental Resistances,192
15,20,,0,You and nearby Allies have +#% to Elemental Resistances,,You and nearby Allies have (\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Elemental Resistances,193
3,5,,0,Minions gain Added Physical Damage equal to #% of Maximum Energy Shield on your Equipped Helmet,,Minions gain Added Physical Damage equal to ([+-]?([0-9]*[.])?[0-9]+)% of Maximum Energy Shield on your Equipped Helmet,194
6,10,,0,Minions gain Added Physical Damage equal to #% of Maximum Energy Shield on your Equipped Helmet,,Minions gain Added Physical Damage equal to ([+-]?([0-9]*[.])?[0-9]+)% of Maximum Energy Shield on your Equipped Helmet,195
5,10,,0,Corpses you Spawn have #% increased Maximum Life,,Corpses you Spawn have ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Maximum Life,196
11,20,,0,Corpses you Spawn have #% increased Maximum Life,,Corpses you Spawn have ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Maximum Life,197
5,8,,0,Minions have #% additional Physical Damage Reduction,,Minions have ([+-]?([0-9]*[.])?[0-9]+)% additional Physical Damage Reduction,198
9,12,,0,Minions have #% additional Physical Damage Reduction,,Minions have ([+-]?([0-9]*[.])?[0-9]+)% additional Physical Damage Reduction,199
10,15,,0,#% chance to gain a Power Charge on Critical Strike,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain a Power Charge on Critical Strike,200
16,25,,0,#% chance to gain a Power Charge on Critical Strike,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain a Power Charge on Critical Strike,201
2,3,,0,+#% to Critical Strike Multiplier per Power Charge,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Multiplier per Power Charge,202
4,5,,0,+#% to Critical Strike Multiplier per Power Charge,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Multiplier per Power Charge,203
0.4,0.6,,0,+#% Critical Strike Chance while at maximum Power Charges,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Critical Strike Chance while at maximum Power Charges,204
0.61,1,,0,+#% Critical Strike Chance while at maximum Power Charges,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Critical Strike Chance while at maximum Power Charges,205
80,120,,0,#% increased Critical Strike Chance against Enemies on Full Life,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance against Enemies on Full Life,206
130,160,,0,#% increased Critical Strike Chance against Enemies on Full Life,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance against Enemies on Full Life,207
10,15,,0,#% increased Elusive Effect,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Elusive Effect,208
16,25,,0,#% increased Elusive Effect,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Elusive Effect,209
1,2,,0,"#% increased Poison Duration for each Poison you have inflicted Recently, up to a maximum of 100%",,"([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Poison Duration for each Poison you have inflicted Recently, up to a maximum of 100%",210
5,10,,0,#% Global chance to Blind Enemies on hit,,([+-]?([0-9]*[.])?[0-9]+)% Global chance to Blind Enemies on hit,211
11,15,,0,#% Global chance to Blind Enemies on hit,,([+-]?([0-9]*[.])?[0-9]+)% Global chance to Blind Enemies on hit,212
20,30,,0,#% increased Effect of Auras from Mines,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of Auras from Mines,213
31,50,,0,#% increased Effect of Auras from Mines,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of Auras from Mines,214
5,6,,0,#% chance to take 50% less Area Damage from Hits,,([+-]?([0-9]*[.])?[0-9]+)% chance to take 50% less Area Damage from Hits,215
7,10,,0,#% chance to take 50% less Area Damage from Hits,,([+-]?([0-9]*[.])?[0-9]+)% chance to take 50% less Area Damage from Hits,216
5,6,,0,Hits have #% chance to deal 50% more Area Damage,,Hits have ([+-]?([0-9]*[.])?[0-9]+)% chance to deal 50% more Area Damage,217
7,10,,0,Hits have #% chance to deal 50% more Area Damage,,Hits have ([+-]?([0-9]*[.])?[0-9]+)% chance to deal 50% more Area Damage,218
5,8,,0,#% increased Cooldown Recovery Rate,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Cooldown Recovery Rate,219
9,12,,0,#% increased Cooldown Recovery Rate,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Cooldown Recovery Rate,220
2,3,,0,#% chance to throw up to 4 additional Traps,,([+-]?([0-9]*[.])?[0-9]+)% chance to throw up to 4 additional Traps,221
4,5,,0,#% chance to throw up to 4 additional Traps,,([+-]?([0-9]*[.])?[0-9]+)% chance to throw up to 4 additional Traps,222
10,15,,0,+#% to Critical Strike Multiplier against Burning Enemies,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Multiplier against Burning Enemies,223
20,30,,0,#% increased Critical Strike Chance against Shocked Enemies,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance against Shocked Enemies,224
16,25,,0,+#% to Critical Strike Multiplier against Burning Enemies,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Multiplier against Burning Enemies,225
31,50,,0,#% increased Critical Strike Chance against Shocked Enemies,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance against Shocked Enemies,226
40,60,,0,#% increased Charge Duration,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Charge Duration,227
61,100,,0,#% increased Charge Duration,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Charge Duration,228
5,8,,0,#% chance for Energy Shield Recharge to start when you Suppress Spell Damage,,([+-]?([0-9]*[.])?[0-9]+)% chance for Energy Shield Recharge to start when you Suppress Spell Damage,229
9,12,,0,#% chance for Energy Shield Recharge to start when you Suppress Spell Damage,,([+-]?([0-9]*[.])?[0-9]+)% chance for Energy Shield Recharge to start when you Suppress Spell Damage,230
7,13,,0,#% chance to gain 25% of Non-Chaos Damage with Hits as Extra Chaos Damage,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain 25% of Non-Chaos Damage with Hits as Extra Chaos Damage,231
17,23,,0,#% chance to gain 25% of Non-Chaos Damage with Hits as Extra Chaos Damage,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain 25% of Non-Chaos Damage with Hits as Extra Chaos Damage,232
1,2,,0,+# to Evasion Rating per 1 Maximum Energy Shield on Equipped Helmet,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Evasion Rating per 1 Maximum Energy Shield on Equipped Helmet,233
3,4,,0,+# to Evasion Rating per 1 Maximum Energy Shield on Equipped Helmet,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Evasion Rating per 1 Maximum Energy Shield on Equipped Helmet,234
3,4,,0,Prevent +#% of Suppressed Spell Damage while on Full Energy Shield,,Prevent (\+|\-)([+-]?([0-9]*[.])?[0-9]+)% of Suppressed Spell Damage while on Full Energy Shield,235
5,6,,0,Prevent +#% of Suppressed Spell Damage while on Full Energy Shield,,Prevent (\+|\-)([+-]?([0-9]*[.])?[0-9]+)% of Suppressed Spell Damage while on Full Energy Shield,236
0.5,1,,0,#% of Damage Leeched as Energy Shield,,([+-]?([0-9]*[.])?[0-9]+)% of Damage Leeched as Energy Shield,237
1.1,2,,0,#% of Damage Leeched as Energy Shield,,([+-]?([0-9]*[.])?[0-9]+)% of Damage Leeched as Energy Shield,238
4,6,,0,#% chance to Recover 10% of Mana when you use a Skill,,([+-]?([0-9]*[.])?[0-9]+)% chance to Recover 10% of Mana when you use a Skill,239
7,10,,0,#% chance to Recover 10% of Mana when you use a Skill,,([+-]?([0-9]*[.])?[0-9]+)% chance to Recover 10% of Mana when you use a Skill,240
10,15,,0,#% increased Effect of your Marks,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of your Marks,241
16,25,,0,#% increased Effect of your Marks,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of your Marks,242
7,13,,0,Projectiles have #% chance to be able to Chain when colliding with terrain,,Projectiles have ([+-]?([0-9]*[.])?[0-9]+)% chance to be able to Chain when colliding with terrain,243
14,20,,0,Projectiles have #% chance to be able to Chain when colliding with terrain,,Projectiles have ([+-]?([0-9]*[.])?[0-9]+)% chance to be able to Chain when colliding with terrain,244
30,50,,0,#% increased Mirage Archer Duration,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Mirage Archer Duration,245
51,100,,0,#% increased Mirage Archer Duration,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Mirage Archer Duration,246
25,40,,0,"Projectiles gain Damage as they travel farther, dealing up to #% increased Damage with Hits to targets",,"Projectiles gain Damage as they travel farther, dealing up to ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Damage with Hits to targets",247
41,60,,0,"Projectiles gain Damage as they travel farther, dealing up to #% increased Damage with Hits to targets",,"Projectiles gain Damage as they travel farther, dealing up to ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Damage with Hits to targets",248
