minRoll,maxRoll,textRolls,position,effect,static,regex,modifierId
5,8,,0,+#% Chance to Block Spell Damage while affected by Discipline,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Spell Damage while affected by Discipline,239
30,40,,0,#% faster start of Energy Shield Recharge while affected by Discipline,,([+-]?([0-9]*[.])?[0-9]+)% faster start of Energy Shield Recharge while affected by Discipline,240
20,30,,0,Gain # Energy Shield per Enemy Hit while affected by Discipline,,Gain ([+-]?([0-9]*[.])?[0-9]+) Energy Shield per Enemy Hit while affected by Discipline,241
10,15,,0,#% increased Energy Shield Recovery Rate while affected by Discipline,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Energy Shield Recovery Rate while affected by Discipline,242
10,15,,0,Damage Penetrates #% Lightning Resistance while affected by Wrath,,Damage Penetrates ([+-]?([0-9]*[.])?[0-9]+)% Lightning Resistance while affected by Wrath,243
1,1.5,,0,#% of Lightning Damage is Leeched as Energy Shield while affected by Wrath,,([+-]?([0-9]*[.])?[0-9]+)% of Lightning Damage is Leeched as Energy Shield while affected by Wrath,244
15,25,,0,Gain #% of Physical Damage as Extra Lightning Damage while affected by Wrath,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage as Extra Lightning Damage while affected by Wrath,245
25,40,,0,#% of Physical Damage Converted to Lightning Damage while affected by Wrath,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage Converted to Lightning Damage while affected by Wrath,246
40,60,,0,#% increased Lightning Damage while affected by Wrath,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Lightning Damage while affected by Wrath,247
70,100,,0,#% increased Critical Strike Chance while affected by Wrath,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance while affected by Wrath,248
10,15,,0,Damage Penetrates #% Fire Resistance while affected by Anger,,Damage Penetrates ([+-]?([0-9]*[.])?[0-9]+)% Fire Resistance while affected by Anger,249
1,1.5,,0,#% of Fire Damage Leeched as Life while affected by Anger,,([+-]?([0-9]*[.])?[0-9]+)% of Fire Damage Leeched as Life while affected by Anger,250
15,25,,0,Gain #% of Physical Damage as Extra Fire Damage while affected by Anger,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage as Extra Fire Damage while affected by Anger,251
25,40,,0,#% of Physical Damage Converted to Fire Damage while affected by Anger,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage Converted to Fire Damage while affected by Anger,252
40,60,,0,#% increased Fire Damage while affected by Anger,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Fire Damage while affected by Anger,253
30,50,,0,+#% to Critical Strike Multiplier while affected by Anger,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Multiplier while affected by Anger,254
10,15,,0,Damage Penetrates #% Cold Resistance while affected by Hatred,,Damage Penetrates ([+-]?([0-9]*[.])?[0-9]+)% Cold Resistance while affected by Hatred,255
1.2,1.8,,0,+#% to Critical Strike Chance while affected by Hatred,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Chance while affected by Hatred,256
58,78,,0,Adds # to # Cold Damage while affected by Hatred,,Adds ([+-]?([0-9]*[.])?[0-9]+) to ([+-]?([0-9]*[.])?[0-9]+) Cold Damage while affected by Hatred,257
80,104,,1,Adds # to # Cold Damage while affected by Hatred,,Adds ([+-]?([0-9]*[.])?[0-9]+) to ([+-]?([0-9]*[.])?[0-9]+) Cold Damage while affected by Hatred,258
25,40,,0,#% of Physical Damage Converted to Cold Damage while affected by Hatred,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage Converted to Cold Damage while affected by Hatred,259
40,60,,0,#% increased Cold Damage while affected by Hatred,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Cold Damage while affected by Hatred,260
0.8,1.2,,0,#% of Damage leeched as Life while affected by Vitality,,([+-]?([0-9]*[.])?[0-9]+)% of Damage leeched as Life while affected by Vitality,261
1,1.5,,0,Regenerate #% of Life per second while affected by Vitality,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Life per second while affected by Vitality,262
10,15,,0,#% increased Life Recovery Rate while affected by Vitality,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Life Recovery Rate while affected by Vitality,263
20,30,,0,Gain # Life per Enemy Hit while affected by Vitality,,Gain ([+-]?([0-9]*[.])?[0-9]+) Life per Enemy Hit while affected by Vitality,264
50,70,,0,#% increased Life Recovery from Flasks while affected by Vitality,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Life Recovery from Flasks while affected by Vitality,265
-10,-5,,0,Non-Channelling Skills have +# to Total Mana Cost while affected by Clarity,,Non-Channelling Skills have (\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Total Mana Cost while affected by Clarity,266
6,10,,0,#% of Damage taken from Mana before Life while affected by Clarity,,([+-]?([0-9]*[.])?[0-9]+)% of Damage taken from Mana before Life while affected by Clarity,267
10,15,,0,#% chance to Recover 10% of Mana when you use a Skill while affected by Clarity,,([+-]?([0-9]*[.])?[0-9]+)% chance to Recover 10% of Mana when you use a Skill while affected by Clarity,268
6,10,,0,Gain #% of Maximum Mana as Extra Maximum Energy Shield while affected by Clarity,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Maximum Mana as Extra Maximum Energy Shield while affected by Clarity,269
10,15,,0,#% increased Mana Recovery Rate while affected by Clarity,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Mana Recovery Rate while affected by Clarity,270
15,20,,0,#% of Damage taken while affected by Clarity Recouped as Mana,,([+-]?([0-9]*[.])?[0-9]+)% of Damage taken while affected by Clarity Recouped as Mana,271
5,8,,0,+#% chance to Suppress Spell Damage while affected by Haste,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% chance to Suppress Spell Damage while affected by Haste,272
15,20,,0,Debuffs on you expire #% faster while affected by Haste,,Debuffs on you expire ([+-]?([0-9]*[.])?[0-9]+)% faster while affected by Haste,273
30,50,,0,#% increased Cooldown Recovery Rate of Movement Skills used while affected by Haste,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Cooldown Recovery Rate of Movement Skills used while affected by Haste,274
6,10,,0,#% of Physical Damage from Hits taken as Fire Damage while affected by Purity of Fire,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Fire Damage while affected by Purity of Fire,275
6,10,,0,#% of Physical Damage from Hits taken as Cold Damage while affected by Purity of Ice,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Cold Damage while affected by Purity of Ice,276
6,10,,0,#% of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Lightning,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Lightning,277
8,12,,0,#% of Physical Damage from Hits taken as Fire Damage while affected by Purity of Elements,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Fire Damage while affected by Purity of Elements,278
8,12,,0,#% of Physical Damage from Hits taken as Cold Damage while affected by Purity of Elements,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Cold Damage while affected by Purity of Elements,279
8,12,,0,#% of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Elements,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Elements,280
30,50,,0,+#% to Chaos Resistance while affected by Purity of Elements,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Chaos Resistance while affected by Purity of Elements,281
40,50,,0,#% reduced Reflected Elemental Damage taken while affected by Purity of Elements,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Reflected Elemental Damage taken while affected by Purity of Elements,282
18,22,,0,+#% to Damage over Time Multiplier while affected by Malevolence,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Damage over Time Multiplier while affected by Malevolence,283
8,12,,0,#% increased Recovery rate of Life and Energy Shield while affected by Malevolence,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Recovery rate of Life and Energy Shield while affected by Malevolence,284
10,15,,0,Damaging Ailments you inflict deal Damage #% faster while affected by Malevolence,,Damaging Ailments you inflict deal Damage ([+-]?([0-9]*[.])?[0-9]+)% faster while affected by Malevolence,285
8,10,,0,Critical Strikes Penetrate #% of Enemy Elemental Resistances while affected by Zealotry,,Critical Strikes Penetrate ([+-]?([0-9]*[.])?[0-9]+)% of Enemy Elemental Resistances while affected by Zealotry,286
10,15,,0,#% increased Cast Speed while affected by Zealotry,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Cast Speed while affected by Zealotry,287
8,10,,0,Consecrated Ground you create while affected by Zealotry causes enemies to take #% increased Damage,,Consecrated Ground you create while affected by Zealotry causes enemies to take ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Damage,288
100,120,,0,#% increased Critical Strike Chance against Enemies on Consecrated Ground while affected by Zealotry,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance against Enemies on Consecrated Ground while affected by Zealotry,289
20,30,,0,+#% to Critical Strike Multiplier while affected by Precision,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Multiplier while affected by Precision,290
40,60,,0,#% increased Attack Damage while affected by Precision,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Attack Damage while affected by Precision,291
10,15,,0,#% increased Attack Speed while affected by Precision,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Attack Speed while affected by Precision,292
8,12,,0,#% chance to deal Double Damage while using Pride,,([+-]?([0-9]*[.])?[0-9]+)% chance to deal Double Damage while using Pride,293
40,60,,0,#% increased Physical Damage while using Pride,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Physical Damage while using Pride,294
,,,0,Unaffected by Vulnerability while affected by Determination,True,,295
,,,0,Unaffected by Enfeeble while affected by Grace,True,,296
,,,0,You gain Onslaught for 4 seconds on Kill while affected by Haste,True,,297
,,,0,You have Phasing while affected by Haste,True,,298
,,,0,Unaffected by Temporal Chains while affected by Haste,True,,299
,,,0,Immune to Ignite while affected by Purity of Fire,True,,300
,,,0,Unaffected by Burning Ground while affected by Purity of Fire,True,,301
,,,0,Unaffected by Flammability while affected by Purity of Fire,True,,302
,,,0,Immune to Freeze while affected by Purity of Ice,True,,303
,,,0,Unaffected by Chilled Ground while affected by Purity of Ice,True,,304
,,,0,Unaffected by Frostbite while affected by Purity of Ice,True,,305
,,,0,Immune to Shock while affected by Purity of Lightning,True,,306
,,,0,Unaffected by Shocked Ground while affected by Purity of Lightning,True,,307
,,,0,Unaffected by Conductivity while affected by Purity of Lightning,True,,308
,,,0,Unaffected by Elemental Weakness while affected by Purity of Elements,True,,309
,,,0,Unaffected by Poison while affected by Malevolence,True,,310
,,,0,Unaffected by Bleeding while affected by Malevolence,True,,311
,,,0,Effects of Consecrated Ground you create while affected by Zealotry Linger for 2 seconds,True,,312
,,,0,Gain Arcane Surge for 4 seconds when you create Consecrated Ground while affected by Zealotry,True,,313
,,,0,30% increased Maximum total Energy Shield Recovery per second from Leech while affected by Zealotry,True,,314
,,,0,Gain a Flask Charge when you deal a Critical Strike while affected by Precision,True,,315
,,,0,Cannot be Blinded while affected by Precision,True,,316
,,,0,Your Hits Intimidate Enemies for 4 seconds while you are using Pride,True,,317
,,,0,25% chance to Impale Enemies on Hit with Attacks while using Pride,True,,318
,,,0,Impales you inflict last 2 additional Hits while using Pride,True,,319
