minRoll,maxRoll,position,effect,static
,,0,"Hits ignore Enemy Monster Physical Damage Reduction if you've Blocked in the past 20 seconds",True
3,6,0,"+# to Armour and Evasion Rating per 1% Chance to Block Attack Damage",
3,6,0,"+#% Chance to Block Attack Damage",
4,12,0,"Gain #% increased Attack Speed for 20 seconds when you Kill a Rare or Unique Enemy",
,,0,"Cannot take Reflected Physical Damage",True
,,0,"Cannot be Stunned while Leeching",True
,,0,"You are Unaffected by Bleeding while Leeching",True
4,12,0,"#% of Overkill Damage is Leeched as Life",
10,30,0,"#% increased Maximum Recovery per Life Leech",
4,12,0,"#% increased Area of Effect if you've Killed Recently",
,,0,"Culling Strike",True
20,40,0,"+# to Strength and Intelligence",
20,40,0,"#% increased Effect of non-Damaging Ailments you inflict with Critical Strikes",
,,0,"Effects of Consecrated Ground you create Linger for 2 seconds",True
5,10,0,"Consecrated Ground you create applies #% increased Damage taken to Enemies",
3,6,0,"Damage Penetrates #% of Enemy Elemental Resistances",
10,30,0,"#% chance to create Consecrated Ground when you Hit a Rare or Unique Enemy, lasting 8 seconds",
50,100,0,"#% increased Critical Strike Chance if you haven't dealt a Critical Strike Recently",
1,3,0,"#% of Damage is taken from Mana before Life",
4,12,0,"#% increased Mana Reservation Efficiency of Skills",
2,5,0,"Gain #% of Maximum Mana as Extra Maximum Energy Shield",
,,0,"Gain Arcane Surge when you or your Totems Hit an Enemy with a Spell",True
20,40,0,"Non-Damaging Ailments have #% reduced Effect on you while you have Arcane Surge",
1,3,0,"#% of Damage from Hits is taken from your nearest Totem's Life before you",
,,0,"+1 to Minimum Endurance Charges",True
,,0,"+1 to Minimum Power Charges",True
20,50,0,"Skills that would Summon a Totem have #% chance to Summon two Totems instead",
4,8,0,"If you've Attacked Recently, you and nearby Allies have +#% Chance to Block Attack Damage",
4,8,0,"If you've Cast a Spell Recently, you and nearby Allies have +#% Chance to Block Spell Damage",
,,0,"Every 4 seconds, remove Curses and Elemental Ailments from you",True
3,6,0,"Grants Armour equal to #% of your Reserved Mana to you and nearby Allies",
,,0,"Enemies in your Link Beams cannot apply Elemental Ailments",True
10,20,0,"Every 4 seconds, Regenerate #% of Life over one second",
,,0,"Nearby Enemies cannot gain Power, Frenzy or Endurance Charges",True
,,0,"While there are at least five nearby Allies, you and nearby Allies have Onslaught",True
-7,-4,0,"Exposure you inflict applies an extra #% to the affected Resistance",
,,0,"All Damage can Ignite",True
5,10,0,"Shocks from your Hits always increase Damage taken by at least #%",
3,6,0,"Chills from your Hits always reduce Action Speed by at least #%",
15,35,0,"#% increased Effect of Buffs granted by your Golems",
10,25,0,"#% chance to Freeze, Shock and Ignite",
,,0,"Cannot take Reflected Elemental Damage",True
,,0,"Your Hexes can affect Hexproof Enemies",True
6,15,0,"Cursed Enemies you or your Minions Kill have a #% chance to Explode, dealing a quarter of their maximum Life as Chaos Damage",
2,4,0,"#% increased Area of Effect per Power Charge",
3,8,0,"#% increased Effect of your Curses",
,,0,"Nearby Enemies are Chilled",True
1,3,0,"Regenerate #% of Energy Shield per second",
10,30,0,"#% chance to Hinder Enemies on Hit with Spells",
10,30,0,"Minions have #% chance to gain Unholy Might for 4 seconds on Kill",
15,30,0,"Your Offerings have #% increased Effect on you",
2,5,0,"Regenerate #% of Mana over 2 seconds when you Consume a corpse",
2,5,0,"Regenerate #% of Energy Shield over 2 seconds when you Consume a corpse",
10,20,0,"You and nearby Allies have +#% to Elemental Resistances",
3,10,0,"Minions gain Added Physical Damage equal to #% of Maximum Energy Shield on your Equipped Helmet",
5,20,0,"Corpses you Spawn have #% increased Maximum Life",
5,12,0,"Minions have #% additional Physical Damage Reduction",
10,25,0,"#% chance to gain a Power Charge on Critical Strike",
2,5,0,"+#% to Critical Strike Multiplier per Power Charge",
0.4,1,0,"+#% Critical Strike Chance while at maximum Power Charges",
,,0,"Critical Strikes have Culling Strike",True
80,160,0,"#% increased Critical Strike Chance against Enemies on Full Life",
,,0,"Damage from your Critical Strikes cannot be Reflected",True
10,25,0,"#% increased Elusive Effect",
,,0,"You take no Extra Damage from Critical Strikes while Elusive",True
1,3,0,"#% increased Poison Duration for each Poison you have inflicted Recently, up to a maximum of 100%",
,,0,"Cannot be Blinded",True
5,15,0,"#% Global chance to Blind Enemies on hit",
20,50,0,"#% increased Effect of Auras from Mines",
5,10,0,"#% chance to take 50% less Area Damage from Hits",
5,10,0,"Hits have #% chance to deal 50% more Area Damage",
5,12,0,"#% increased Cooldown Recovery Rate",
2,5,0,"#% chance to throw up to 4 additional Traps",
10,25,0,"+#% to Critical Strike Multiplier against Burning Enemies",
20,50,0,"#% increased Critical Strike Chance against Shocked Enemies",
40,100,0,"#% increased Charge Duration",
1,2,0,"Recover #% of Life on Kill",
1,2,0,"Recover #% of Energy Shield on Kill",
1,2,0,"Recover #% of Mana on Kill",
5,12,0,"#% chance for Energy Shield Recharge to start when you Suppress Spell Damage",
7,23,0,"#% chance to gain 25% of Non-Chaos Damage with Hits as Extra Chaos Damage",
1,4,0,"+# to Evasion Rating per 1 Maximum Energy Shield on Equipped Helmet",
3,6,0,"Prevent +#% of Suppressed Spell Damage while on Full Energy Shield",
0.5,2,0,"#% of Damage Leeched as Energy Shield",
4,10,0,"#% chance to Recover 10% of Mana when you use a Skill",
,,0,"Projectile Barrages have no spread",True
10,25,0,"#% increased Effect of your Marks",
7,20,0,"Projectiles have #% chance to be able to Chain when colliding with terrain",
,,0,"Skills fire an additional Projectile",True
30,100,0,"#% increased Mirage Archer Duration",
25,60,0,"Projectiles gain Damage as they travel farther, dealing up to #% increased Damage with Hits to targets",
6,20,0,"Gain # Life per Bleeding Enemy Hit",
7,20,0,"#% increased Accuracy Rating if you've dealt a Critical Strike in the past 8 seconds",
15,40,0,"#% increased Effect of Onslaught on you",
10,25,0,"#% chance to gain Phasing for 4 seconds on Kill",
5,15,0,"+#% chance to Suppress Spell Damage",
10,25,0,"#% chance to Avoid Elemental Ailments while Phasing",
10,25,0,"#% chance to gain Onslaught for 4 seconds on Kill",
3,9,0,"#% increased Evasion Rating per Frenzy Charge",
,,0,"2% increased Movement Speed per Frenzy Charge",True
3,8,0,"#% chance to gain a Frenzy Charge on Hit",
,,0,"Flasks gain a Charge every 3 seconds",True
,,0,"Removes Bleeding when you use a Flask",True
6,15,0,"Magic Utility Flasks applied to you have #% increased Effect",
6,15,0,"#% chance to inflict Withered for 2 seconds on Hit",
2,5,0,"Recover #% of Life when you use a Flask",
7,20,0,"#% increased Effect of Withered",
15,40,0,"Enemies you Kill that are affected by Elemental Ailments grant #% increased Flask Charges",
5,12,0,"Gain #% of Physical Damage as Extra Damage of a random Element",
