# Source: https://poedb.tw/That_Which_Was_Taken
minRoll,maxRoll,position,effect,static,unique
,,0,"Projectile Barrages have no spread",True,True
10,25,0,"#% increased Effect of your Marks",,True
7,20,0,"Projectiles have #% chance to be able to Chain when colliding with terrain",,True
,,0,"Skills fire an additional Projectile",True,True
30,100,0,"#% increased Mirage Archer Duration",,True
25,60,0,"Projectiles gain Damage as they travel farther, dealing up to #% increased Damage with Hits to targets",,True
6,20,0,"Gain # Life per Bleeding Enemy Hit",,True
7,20,0,"#% increased Accuracy Rating if you've dealt a Critical Strike in the past 8 seconds",,True
15,40,0,"#% increased Effect of Onslaught on you",,True
10,25,0,"#% chance to gain Phasing for 4 seconds on Kill",,True
5,15,0,"+#% chance to Suppress Spell Damage",,True
10,25,0,"#% chance to Avoid Elemental Ailments while Phasing",,True
10,25,0,"#% chance to gain Onslaught for 4 seconds on Kill",,True
3,9,0,"#% increased Evasion Rating per Frenzy Charge",,True
,,0,"2% increased Movement Speed per Frenzy Charge",True,True
3,8,0,"#% chance to gain a Frenzy Charge on Hit",,True
,,0,"Flasks gain a Charge every 3 seconds",True,True
,,0,"Removes Bleeding when you use a Flask",True,True
6,15,0,"Magic Utility Flasks applied to you have #% increased Effect",,True
6,15,0,"#% chance to inflict Withered for 2 seconds on Hit",,True
2,5,0,"Recover #% of Life when you use a Flask",,True
7,20,0,"#% increased Effect of Withered",,True
15,40,0,"Enemies you Kill that are affected by Elemental Ailments grant #% increased Flask Charges",,True
5,12,0,"Gain #% of Physical Damage as Extra Damage of a random Element",,True
